Dim_Lojas.Regiao,ID_Produto,total_vendas,qtd_vendas,ticket_medio,clientes_unicos,lojas_unicas,canais_unicos,idade_media_clientes,idade_std_clientes,fidelidade,vendas_por_cliente,vendas_por_loja,ticket_relativo,vendas_relativa_regiao,participacao_lojas,score_produto_regiao,<18,18-25,26-35,36-50,50+,concentracao_vendas_loja
SUL DO AMAPÁ,226126,439.98,439.98,1.0,1,1,1,32.0,,0.0,439.98,439.98,0.22501022773762444,0.02095103948069536,0.25,0.0987118391295538,0.0,0.0,1.0,0.0,0.0,
NORDESTE RIO-GRANDENSE,212711,399.98,379.98,1.0526343491762724,1,1,1,37.0,,0.0,379.98,379.98,0.23685349463259914,0.009094869266340505,0.16666666666666666,0.09870667780180173,0.0,0.0,0.0,1.0,0.0,
NORDESTE RIO-GRANDENSE,225390,399.98,379.98,1.0526343491762724,1,1,1,34.0,,0.0,379.98,379.98,0.23685349463259914,0.009094869266340505,0.16666666666666666,0.09870667780180173,0.0,0.0,1.0,0.0,0.0,
NORDESTE RIO-GRANDENSE,220295,399.98,379.98,1.0526343491762724,1,1,1,30.0,,0.0,379.98,379.98,0.23685349463259914,0.009094869266340505,0.16666666666666666,0.09870667780180173,0.0,0.0,1.0,0.0,0.0,
DISTRITO FEDERAL,224939,1999.9,1934.92,1.0387940298507463,5,4,1,39.4,5.366563145999495,0.0,386.98400000000004,483.73,0.23373928122920107,0.008930610075427777,0.14814814814814814,0.09870461773298084,0.0,0.0,0.0,5.0,0.0,199.99000000000004
METROPOLITANA DE PORTO ALEGRE,146470,1606.0,1525.7,1.0555555555555554,2,1,1,35.0,5.656854249492381,0.0,762.85,1525.7,0.2375107959452702,0.007509530266749029,0.058823529411764705,0.09866279496925941,0.0,0.0,1.0,1.0,0.0,
PRESIDENTE PRUDENTE,257044,469.98,469.98,1.0,1,1,1,43.0,,0.0,469.98,469.98,0.22501022773762444,0.020800287498760783,0.3333333333333333,0.09865153833677996,0.0,0.0,0.0,1.0,0.0,
PRESIDENTE PRUDENTE,252982,469.98,469.98,1.0,1,1,1,37.0,,0.0,469.98,469.98,0.22501022773762444,0.020800287498760783,0.3333333333333333,0.09865153833677996,0.0,0.0,0.0,1.0,0.0,
NORTE CENTRAL PARANAENSE,204917,899.94,869.94,1.0370397807244982,3,3,1,37.666666666666664,0.5773502691896263,0.0,289.98,289.98,0.23334455723379544,0.010794362274104635,0.25,0.09863756452983762,0.0,0.0,0.0,3.0,0.0,0.0
METROPOLITANA DE SÃO PAULO,210371,238.0,218.0,1.091743119266055,1,1,1,37.0,,0.0,218.0,218.0,0.24565336789703948,9.284388190951569e-05,0.005154639175257732,0.09862581695380546,0.0,0.0,0.0,1.0,0.0,
LESTE ALAGOANO,204444,599.96,599.96,1.0,2,2,1,34.5,7.7781745930520225,0.0,299.98,299.98,0.22501022773762444,0.01989559422485245,0.6666666666666666,0.09861699326944248,0.0,0.0,1.0,1.0,0.0,0.0
METROPOLITANA DE SÃO PAULO,216639,799.92,759.92,1.0833437513022461,3,3,2,41.666666666666664,8.082903768654761,0.0,253.30666666666664,253.30666666666664,0.24376342419865077,0.0003236418474343081,0.015463917525773196,0.09861682314511162,0.0,0.0,0.0,2.0,1.0,115.45850683254136
DISTRITO FEDERAL,253401,599.96,559.96,1.0769289945380414,2,2,1,43.5,9.192388155425117,0.0,279.98,279.98,0.24232003831825558,0.002584491564424647,0.07407407407407407,0.0986164764375238,0.0,0.0,0.0,2.0,0.0,0.0
ARARAQUARA,257062,799.96,799.96,1.0,2,1,1,38.0,1.4142135623730951,0.0,399.98,799.96,0.22501022773762444,0.019893356331203135,0.2,0.09861609811198276,0.0,0.0,0.0,2.0,0.0,
METROPOLITANA DE SÃO PAULO,250600,759.96,683.96,1.0833388161501853,3,2,2,33.666666666666664,5.773502691896258,0.0,227.98666666666668,341.98,0.24376231373896165,0.00029129129115060715,0.010309278350515464,0.09860343873872249,0.0,0.0,1.0,2.0,0.0,0.0
CENTRO GOIANO,176001,799.96,749.96,1.071432653294474,2,2,1,37.0,0.0,0.0,374.98,374.98,0.2410833053233168,0.0037745546618387373,0.11764705882352941,0.09859780847851393,0.0,0.0,0.0,2.0,0.0,0.0
METROPOLITANA DE RECIFE,220294,399.98,369.98,1.0810854640791394,1,1,1,37.0,,0.0,369.98,369.98,0.24325528647628256,0.002418852272314203,0.07142857142857142,0.09859698774166457,0.0,0.0,0.0,1.0,0.0,
OCIDENTAL DO TOCANTINS,222616,329.98,329.98,1.0,1,1,1,59.0,,0.0,329.98,329.98,0.22501022773762444,0.020635396101674884,0.3333333333333333,0.0985855817779456,0.0,0.0,0.0,0.0,1.0,
OCIDENTAL DO TOCANTINS,211568,329.98,329.98,1.0,1,1,1,39.0,,0.0,329.98,329.98,0.22501022773762444,0.020635396101674884,0.3333333333333333,0.0985855817779456,0.0,0.0,0.0,1.0,0.0,
OESTE POTIGUAR,216342,359.98,359.98,1.0,1,1,1,37.0,,0.0,359.98,359.98,0.22501022773762444,0.020617871762313132,0.3333333333333333,0.0985785720422009,0.0,0.0,0.0,1.0,0.0,
OESTE POTIGUAR,134177,359.98,359.98,1.0,1,1,1,37.0,,0.0,359.98,359.98,0.22501022773762444,0.020617871762313132,0.3333333333333333,0.0985785720422009,0.0,0.0,0.0,1.0,0.0,
OESTE POTIGUAR,252242,359.98,359.98,1.0,1,1,1,37.0,,0.0,359.98,359.98,0.22501022773762444,0.020617871762313132,0.3333333333333333,0.0985785720422009,0.0,0.0,0.0,1.0,0.0,
OESTE POTIGUAR,241458,359.98,359.98,1.0,1,1,1,29.0,,0.0,359.98,359.98,0.22501022773762444,0.020617871762313132,0.3333333333333333,0.0985785720422009,0.0,0.0,1.0,0.0,0.0,
BAIXADAS,142485,839.6,813.8,1.0336211124016002,3,1,1,38.25,6.652067347825036,0.25,271.26666666666665,813.8,0.23257532189590074,0.011410107268748684,0.25,0.09857616839253736,0.0,0.0,1.0,2.0,0.0,
METROPOLITANA DE SÃO PAULO,176136,2636.0,2512.14,1.0757079073681695,4,4,2,37.0,4.08248290463863,0.0,628.035,628.035,0.24204528121607521,0.0010698937133035355,0.020618556701030927,0.09855539894065495,0.0,0.0,1.0,3.0,0.0,0.0
SUL ESPÍRITO-SANTENSE,206767,279.98,279.98,1.0,1,1,1,37.0,,0.0,279.98,279.98,0.22501022773762444,0.020533950178144744,0.3333333333333333,0.09854500340853355,0.0,0.0,0.0,1.0,0.0,
LITORAL SUL PAULISTA,253636,559.98,530.0,1.056566037735849,1,1,1,37.0,,0.0,530.0,530.0,0.23773816477078288,0.00778810133877462,0.14285714285714285,0.09853783868604887,0.0,0.0,0.0,1.0,0.0,
SUL CATARINENSE,204922,599.96,599.96,1.0,2,1,1,35.5,13.435028842544403,0.0,299.98,599.96,0.22501022773762444,0.019679020339295493,0.16666666666666666,0.0985303637152197,0.0,0.0,1.0,1.0,0.0,
OESTE PARANAENSE,256740,469.98,469.98,1.0,1,1,1,37.0,,0.0,469.98,469.98,0.22501022773762444,0.0204693695514317,0.25,0.09851917115784832,0.0,0.0,0.0,1.0,0.0,
OESTE PARANAENSE,193771,469.98,469.98,1.0,1,1,1,37.0,,0.0,469.98,469.98,0.22501022773762444,0.0204693695514317,0.25,0.09851917115784832,0.0,0.0,0.0,1.0,0.0,
SUDESTE RIO-GRANDENSE,146470,803.0,803.0,1.0,1,1,1,37.0,,0.0,803.0,803.0,0.22501022773762444,0.020447387827107276,0.5,0.09851037846811855,0.0,0.0,0.0,1.0,0.0,
SUL GOIANO,212820,799.97,799.97,1.0,1,1,1,37.0,,0.0,799.97,799.97,0.22501022773762444,0.020431811889512878,0.125,0.09850414809308079,0.0,0.0,0.0,1.0,0.0,
ZONA DA MATA,176138,890.0,889.0,1.0011261261261262,2,1,1,36.5,6.363961030678928,0.0,444.5,889.0,0.22526361763372538,0.019360072300832434,0.1111111111111111,0.09850414045827485,0.0,0.0,1.0,1.0,0.0,
CENTRO ORIENTAL PARANAENSE,28822,344.54,344.54,1.0,20,6,2,34.19047619047619,6.10425300605281,0.047619047619047616,17.227,57.42333333333334,0.22501022773762444,0.004867267576106681,1.0,0.09849764297000964,0.0,3.0,4.0,13.0,0.0,39.53887690193876
METROPOLITANA DE SÃO PAULO,176168,6942.0,6718.0599999999995,1.0379741898909218,12,9,2,37.61538461538461,6.99450333641188,0.07692307692307693,559.8383333333333,746.451111111111,0.23355480885313254,0.0028611503178946835,0.04639175257731959,0.0984943705751212,0.0,0.0,5.0,7.0,0.0,387.94200597511997
CENTRO SUL BAIANO,214419,359.98,359.98,1.0,1,1,1,30.0,,0.0,359.98,359.98,0.22501022773762444,0.02038644656387174,0.2,0.09848600196282434,0.0,0.0,1.0,0.0,0.0,
ITAPETININGA,224944,329.98,329.98,1.0,1,1,1,37.0,,0.0,329.98,329.98,0.22501022773762444,0.02037552516468127,0.25,0.09848163340314815,0.0,0.0,0.0,1.0,0.0,
PRESIDENTE PRUDENTE,215102,459.98,459.98,1.0,1,1,1,65.0,,0.0,459.98,459.98,0.22501022773762444,0.020357709357164105,0.3333333333333333,0.09847450708014129,0.0,0.0,0.0,0.0,1.0,
PRESIDENTE PRUDENTE,197814,459.98,459.98,1.0,1,1,1,57.0,,0.0,459.98,459.98,0.22501022773762444,0.020357709357164105,0.3333333333333333,0.09847450708014129,0.0,0.0,0.0,0.0,1.0,
SÃO FRANCISCO PERNAMBUCANO,253452,559.98,559.98,1.0,1,1,1,19.0,,0.0,559.98,559.98,0.22501022773762444,0.02034572250422643,0.3333333333333333,0.09846971233896622,0.0,1.0,0.0,0.0,0.0,
CENTRO GOIANO,152822,825.0,779.78,1.0655989787332811,3,3,2,36.0,4.58257569495584,0.0,259.9266666666667,259.9266666666667,0.2397706688817556,0.003924638959689331,0.17647058823529413,0.09846011986325556,0.0,0.0,1.0,2.0,0.0,0.0
PRESIDENTE PRUDENTE,256250,399.98,395.0,1.0126075949367088,1,1,1,27.0,,0.0,395.0,395.0,0.227847065545557,0.017481836593068876,0.3333333333333333,0.09845889309767622,0.0,0.0,1.0,0.0,0.0,
METROPOLITANA DE SÃO PAULO,253796,1679.94,1559.94,1.080003200128005,3,3,1,33.0,7.211102550927978,0.0,519.98,519.98,0.2430117660181656,0.0006643618584675684,0.015463917525773196,0.09845244787733086,0.0,0.0,2.0,1.0,0.0,0.0
LESTE GOIANO,212815,1599.94,1599.94,1.0,2,2,1,37.0,0.0,0.0,799.97,799.97,0.22501022773762444,0.01946986675662082,0.25,0.09844670228214983,0.0,0.0,0.0,2.0,0.0,0.0
VALE SÃO-FRANCISCANO DA BAHIA,45862,26.98,26.98,1.0,1,1,1,31.0,,0.0,26.98,26.98,0.22501022773762444,0.02028601933863667,1.0,0.09844583107273032,0.0,0.0,1.0,0.0,0.0,
CENTRAL ESPÍRITO-SANTENSE,257538,799.96,759.96,1.055558642146786,2,2,1,34.0,4.242640687119285,0.0,379.98,379.98,0.23751149045986591,0.0069166587940025035,0.16666666666666666,0.09842592418599909,0.0,0.0,1.0,1.0,0.0,0.0
NOROESTE RIO-GRANDENSE,256612,399.98,399.98,1.0,1,1,1,37.0,,0.0,399.98,399.98,0.22501022773762444,0.020232800121807545,0.2,0.09842454338599867,0.0,0.0,0.0,1.0,0.0,
NOROESTE RIO-GRANDENSE,214892,399.98,399.98,1.0,1,1,1,37.0,,0.0,399.98,399.98,0.22501022773762444,0.020232800121807545,0.2,0.09842454338599867,0.0,0.0,0.0,1.0,0.0,
NOROESTE RIO-GRANDENSE,214326,399.98,399.98,1.0,1,1,1,37.0,,0.0,399.98,399.98,0.22501022773762444,0.020232800121807545,0.2,0.09842454338599867,0.0,0.0,0.0,1.0,0.0,
NOROESTE RIO-GRANDENSE,256156,399.98,399.98,1.0,1,1,1,37.0,,0.0,399.98,399.98,0.22501022773762444,0.020232800121807545,0.2,0.09842454338599867,0.0,0.0,0.0,1.0,0.0,
NOROESTE RIO-GRANDENSE,256250,399.98,399.98,1.0,1,1,1,37.0,,0.0,399.98,399.98,0.22501022773762444,0.020232800121807545,0.2,0.09842454338599867,0.0,0.0,0.0,1.0,0.0,
NOROESTE RIO-GRANDENSE,257253,399.98,399.98,1.0,1,1,1,37.0,,0.0,399.98,399.98,0.22501022773762444,0.020232800121807545,0.2,0.09842454338599867,0.0,0.0,0.0,1.0,0.0,
NOROESTE RIO-GRANDENSE,257048,399.98,399.98,1.0,1,1,1,37.0,,0.0,399.98,399.98,0.22501022773762444,0.020232800121807545,0.2,0.09842454338599867,0.0,0.0,0.0,1.0,0.0,
NOROESTE RIO-GRANDENSE,253014,399.98,399.98,1.0,1,1,1,38.0,,0.0,399.98,399.98,0.22501022773762444,0.020232800121807545,0.2,0.09842454338599867,0.0,0.0,0.0,1.0,0.0,
NOROESTE RIO-GRANDENSE,256263,399.98,399.98,1.0,1,1,1,37.0,,0.0,399.98,399.98,0.22501022773762444,0.020232800121807545,0.2,0.09842454338599867,0.0,0.0,0.0,1.0,0.0,
NOROESTE RIO-GRANDENSE,217029,399.98,399.98,1.0,1,1,1,43.0,,0.0,399.98,399.98,0.22501022773762444,0.020232800121807545,0.2,0.09842454338599867,0.0,0.0,0.0,1.0,0.0,
NOROESTE RIO-GRANDENSE,257330,399.98,399.98,1.0,1,1,1,79.0,,0.0,399.98,399.98,0.22501022773762444,0.020232800121807545,0.2,0.09842454338599867,0.0,0.0,0.0,0.0,1.0,
NOROESTE RIO-GRANDENSE,257291,399.98,399.98,1.0,1,1,1,37.0,,0.0,399.98,399.98,0.22501022773762444,0.020232800121807545,0.2,0.09842454338599867,0.0,0.0,0.0,1.0,0.0,
SUL GOIANO,253476,759.96,759.96,1.0,2,2,1,39.0,0.0,0.0,379.98,379.98,0.22501022773762444,0.019409927576726885,0.25,0.09842272661019225,0.0,0.0,0.0,2.0,0.0,0.0
ASSIS,256582,299.98,299.98,1.0,1,1,1,42.0,,0.0,299.98,299.98,0.22501022773762444,0.020220362723567864,0.5,0.0984195684267028,0.0,0.0,0.0,1.0,0.0,
ASSIS,212525,299.98,299.98,1.0,1,1,1,54.0,,0.0,299.98,299.98,0.22501022773762444,0.020220362723567864,0.5,0.0984195684267028,0.0,0.0,0.0,0.0,1.0,
METROPOLITANA DE SÃO PAULO,252953,1119.96,1039.56,1.0838233454272488,2,2,2,36.5,0.7071067811865476,0.0,519.78,519.78,0.24387133778193923,0.0004427375498984226,0.010309278350515464,0.09838029461718678,0.0,0.0,0.0,2.0,0.0,0.0
ZONA DA MATA,257371,399.98,379.98,1.0526343491762724,1,1,1,26.0,,0.0,379.98,379.98,0.23685349463259914,0.008274960936861989,0.1111111111111111,0.09837871447001031,0.0,0.0,1.0,0.0,0.0,
NORDESTE RIO-GRANDENSE,146480,839.0,839.0,1.0,1,1,1,39.0,,0.0,839.0,839.0,0.22501022773762444,0.020081570910204967,0.16666666666666666,0.09836405170135763,0.0,0.0,0.0,1.0,0.0,
OESTE POTIGUAR,216405,349.98,349.98,1.0,1,1,1,47.0,,0.0,349.98,349.98,0.22501022773762444,0.020045121282777793,0.3333333333333333,0.09834947185038677,0.0,0.0,0.0,1.0,0.0,
OESTE PARANAENSE,216915,459.98,459.98,1.0,1,1,1,37.0,,0.0,459.98,459.98,0.22501022773762444,0.020033832516846577,0.25,0.09834495634401427,0.0,0.0,0.0,1.0,0.0,
OESTE PARANAENSE,225210,459.98,459.98,1.0,1,1,1,34.0,,0.0,459.98,459.98,0.22501022773762444,0.020033832516846577,0.25,0.09834495634401427,0.0,0.0,1.0,0.0,0.0,
OESTE PARANAENSE,217012,459.98,459.98,1.0,1,1,1,37.0,,0.0,459.98,459.98,0.22501022773762444,0.020033832516846577,0.25,0.09834495634401427,0.0,0.0,0.0,1.0,0.0,
CENTRO-NORTE PIAUIENSE,253372,559.98,559.98,1.0,1,1,1,41.0,,0.0,559.98,559.98,0.22501022773762444,0.020025418885931855,0.2,0.09834159089164839,0.0,0.0,0.0,1.0,0.0,
ZONA DA MATA,225217,879.96,879.96,1.0,2,1,1,37.0,0.0,0.0,439.98,879.96,0.22501022773762444,0.019163204973948827,0.1111111111111111,0.09832403756908102,0.0,0.0,0.0,2.0,0.0,
AGRESTE PARAIBANO,202430,499.98,499.98,1.0,1,1,1,28.0,,0.0,499.98,499.98,0.22501022773762444,0.019972756070962046,0.25,0.09832052576566047,0.0,0.0,1.0,0.0,0.0,
AGRESTE PARAIBANO,134133,499.98,499.98,1.0,1,1,1,37.0,,0.0,499.98,499.98,0.22501022773762444,0.019972756070962046,0.25,0.09832052576566047,0.0,0.0,0.0,1.0,0.0,
AGRESTE PARAIBANO,216652,499.98,499.98,1.0,1,1,1,55.0,,0.0,499.98,499.98,0.22501022773762444,0.019972756070962046,0.25,0.09832052576566047,0.0,0.0,0.0,0.0,1.0,
AGRESTE PARAIBANO,211588,499.98,499.98,1.0,1,1,1,37.0,,0.0,499.98,499.98,0.22501022773762444,0.019972756070962046,0.25,0.09832052576566047,0.0,0.0,0.0,1.0,0.0,
DISTRITO FEDERAL,211071,399.98,369.98,1.0810854640791394,1,1,1,37.0,,0.0,369.98,369.98,0.24325528647628256,0.0017076401689510516,0.037037037037037035,0.0983125029003193,0.0,0.0,0.0,1.0,0.0,
VALE DO ACRE,189333,635.0,635.0,1.0,1,1,1,44.0,,0.0,635.0,635.0,0.22501022773762444,0.019941575893241283,0.3333333333333333,0.09830805369457216,0.0,0.0,0.0,1.0,0.0,
ARARAQUARA,220312,799.96,799.96,1.0,1,1,1,37.0,,0.0,799.96,799.96,0.22501022773762444,0.019893356331203135,0.2,0.0982887658697569,0.0,0.0,0.0,1.0,0.0,
NORTE DE MINAS,190966,499.98,499.98,1.0,1,1,1,26.0,,0.0,499.98,499.98,0.22501022773762444,0.01987931184611843,0.25,0.09828314807572301,0.0,0.0,1.0,0.0,0.0,
CAMPINAS,203404,150.0,137.0,1.0747126436781609,2,1,1,37.5,7.7781745930520225,0.0,68.5,137.0,0.2418213367065274,0.0021937992664063355,0.09090909090909091,0.09826071887362521,0.0,0.0,1.0,1.0,0.0,
VALE DO RIO DOCE,253807,469.98,469.98,1.0,1,1,1,48.0,,0.0,469.98,469.98,0.22501022773762444,0.019798051283347447,0.16666666666666666,0.09825064385061462,0.0,0.0,0.0,1.0,0.0,
CENTRAL ESPÍRITO-SANTENSE,176582,1599.92,1579.92,1.013158587294068,4,3,1,36.25,5.678908345800274,0.0,394.98,526.64,0.2279710444613681,0.014379398339150001,0.25,0.09824950608911068,0.0,0.0,2.0,2.0,0.0,230.92856067046654
METROPOLITANA DE SÃO PAULO,256578,539.96,515.96,1.0833420147932076,2,2,1,35.0,3.4641016151377544,0.3333333333333333,257.98,257.98,0.24376303346635653,0.00021974187756896202,0.010309278350515464,0.09824777462202192,0.0,0.0,1.0,1.0,0.0,42.42640687119288
PRESIDENTE PRUDENTE,225418,399.98,396.0,1.010050505050505,1,1,1,37.0,,0.0,396.0,396.0,0.22727169416791673,0.01752609440722854,0.3333333333333333,0.09824644767228398,0.0,0.0,0.0,1.0,0.0,
CENTRO AMAZONENSE,253796,559.98,526.98,1.0626209723329159,1,1,1,32.0,,0.0,526.98,526.98,0.2391005869834053,0.005693965097154401,0.1,0.09824515307444975,0.0,0.0,1.0,0.0,0.0,
METROPOLITANA DE BELO HORIZONTE,157697,479.52000000000004,479.52000000000004,1.0,23,9,2,39.78260869565217,6.352927183154738,0.0,20.848695652173916,53.28,0.22501022773762444,0.0017442763930203338,0.2727272727272727,0.09823044322345267,0.0,0.0,0.0,20.0,3.0,50.939204940791925
ARARAQUARA,252262,759.96,759.96,1.0,2,1,1,45.0,11.313708498984761,0.0,379.98,759.96,0.22501022773762444,0.018898638778765357,0.2,0.09821821109100763,0.0,0.0,0.0,1.0,1.0,
MADEIRA-GUAPORÉ,189333,1270.0,1270.0,1.0,2,2,2,37.0,0.0,0.0,635.0,635.0,0.22501022773762444,0.018889227176273227,0.5,0.09821444645001079,0.0,0.0,0.0,2.0,0.0,0.0
MARÍLIA,155374,259.98,259.98,1.0,1,1,1,70.0,,0.0,259.98,259.98,0.22501022773762444,0.019621043225464645,1.0,0.0981798406274615,0.0,0.0,0.0,0.0,1.0,
CENTRO AMAZONENSE,152818,635.0,600.0,1.0583333333333333,1,1,1,37.0,,0.0,600.0,600.0,0.23813582435565253,0.006482938742063533,0.1,0.0981748374813123,0.0,0.0,0.0,1.0,0.0,
NORTE MATO-GROSSENSE,122880,150.5,140.02,1.0748464505070703,1,1,1,26.0,,0.0,140.02,140.02,0.24185144461157315,0.002728939445882239,0.125,0.09815948586520802,0.0,0.0,1.0,0.0,0.0,
LESTE GOIANO,253685,399.98,374.99,1.0666417771140564,1,1,1,37.0,,0.0,374.99,374.99,0.24000530918289828,0.004563299458145456,0.125,0.09815477569864337,0.0,0.0,0.0,1.0,0.0,
METROPOLITANA DE SÃO PAULO,189339,5760.0,5462.98,1.0582877817272498,6,6,2,33.666666666666664,4.179314138308661,0.0,910.4966666666666,910.4966666666666,0.23812557477839386,0.0023266250917158074,0.030927835051546393,0.09814487340139903,0.0,0.0,3.0,3.0,0.0,0.0
BAIXO AMAZONAS,225219,659.97,659.97,1.0,2,2,1,35.0,2.8284271247461903,0.0,329.985,329.985,0.22501022773762444,0.01869532960939432,0.6666666666666666,0.09813688742325923,0.0,0.0,1.0,1.0,0.0,155.5564207932286
MATA PARAIBANA,252543,999.96,959.96,1.0434801513109266,2,2,1,37.0,0.0,0.0,479.98,479.98,0.2347937064861624,0.008887670898053243,0.2857142857142857,0.09812721543813799,0.0,0.0,0.0,2.0,0.0,0.0
NORTE FLUMINENSE,203909,599.98,599.98,1.0,1,1,1,21.0,,0.0,599.98,599.98,0.22501022773762444,0.019481590582025428,0.2,0.09812405957008581,0.0,1.0,0.0,0.0,0.0,
NORTE FLUMINENSE,217087,599.98,599.98,1.0,1,1,1,27.0,,0.0,599.98,599.98,0.22501022773762444,0.019481590582025428,0.2,0.09812405957008581,0.0,0.0,1.0,0.0,0.0,
ORIENTAL DO TOCANTINS,28822,269.64,269.64,1.0,15,3,2,39.13333333333333,7.189940062005949,0.0,17.976,89.88,0.22501022773762444,0.008014471465164513,1.0,0.09811986331450348,0.0,0.0,4.0,10.0,1.0,91.11978270386734
LESTE GOIANO,256585,299.98,280.0,1.071357142857143,1,1,1,37.0,,0.0,280.0,280.0,0.24106631470261636,0.0034073544582008263,0.125,0.09811679990655275,0.0,0.0,0.0,1.0,0.0,
VALE DO ACRE,28822,254.66,254.66,1.0,15,2,2,42.2,10.988305471857666,0.0,16.977333333333334,127.33,0.22501022773762444,0.007997357034602874,0.6666666666666666,0.09811301754227882,0.0,1.0,1.0,9.0,4.0,74.14721707522136
METROPOLITANA DE SÃO PAULO,225217,8799.6,8794.62,1.0005724137931034,20,17,2,40.0,9.313261625513544,0.0,439.73100000000005,517.3305882352942,0.2251390266955708,0.003745535140913142,0.08762886597938144,0.09810046957911076,0.0,0.0,2.0,16.0,2.0,172.89129550606273
NORTE CEARENSE,216712,1199.94,1199.94,1.0,3,1,1,36.666666666666664,0.5773502691896263,0.0,399.98,1199.94,0.22501022773762444,0.017763509676563604,0.14285714285714285,0.0980914916923528,0.0,0.0,0.0,3.0,0.0,
CENTRO OCIDENTAL RIO-GRANDENSE,222662,499.98,499.98,1.0,1,1,1,22.0,,0.0,499.98,499.98,0.22501022773762444,0.019388012300247014,0.25,0.09808662825737445,0.0,1.0,0.0,0.0,0.0,
CENTRO OCIDENTAL RIO-GRANDENSE,241571,499.98,499.98,1.0,1,1,1,37.0,,0.0,499.98,499.98,0.22501022773762444,0.019388012300247014,0.25,0.09808662825737445,0.0,0.0,0.0,1.0,0.0,
CENTRO-SUL MATO-GROSSENSE,241386,599.98,569.98,1.0526334257342362,1,1,1,37.0,,0.0,569.98,569.98,0.23685328684869628,0.007540493207893928,0.07692307692307693,0.09808484426486194,0.0,0.0,0.0,1.0,0.0,
VALE DO RIO DOCE,214459,459.98,459.98,1.0,1,1,1,62.0,,0.0,459.98,459.98,0.22501022773762444,0.019376798223997103,0.16666666666666666,0.09808214262687448,0.0,0.0,0.0,0.0,1.0,
GRANDE FLORIANÓPOLIS,257324,1199.94,1139.94,1.0588269898229308,3,3,1,35.0,3.4641016151377544,0.0,379.98,379.98,0.238246902114801,0.004457988404396496,0.1875,0.09806395293435659,0.0,0.0,1.0,2.0,0.0,0.0
NORTE MARANHENSE,176170,1391.0,1391.0,1.0,1,1,1,29.0,,0.0,1391.0,1391.0,0.22501022773762444,0.01932440974417038,0.09090909090909091,0.0980611872349438,0.0,0.0,1.0,0.0,0.0,
LITORAL SUL PAULISTA,256735,1199.94,1199.96,0.9999833333333333,3,3,1,36.333333333333336,6.027713773341709,0.0,399.9866666666667,399.9866666666667,0.22500647756716213,0.017632849212218856,0.42857142857142855,0.09803772743842999,0.0,0.0,1.0,2.0,0.0,0.0
NORTE MATO-GROSSENSE,253698,399.98,379.98,1.0526343491762724,1,1,1,43.0,,0.0,379.98,379.98,0.23685349463259914,0.0074056735512522,0.125,0.0980309995157664,0.0,0.0,0.0,1.0,0.0,
NORTE MATO-GROSSENSE,225287,399.98,379.98,1.0526343491762724,1,1,1,50.0,,0.0,379.98,379.98,0.23685349463259914,0.0074056735512522,0.125,0.0980309995157664,0.0,0.0,0.0,1.0,0.0,
NORTE MATO-GROSSENSE,208846,399.98,379.98,1.0526343491762724,1,1,1,42.0,,0.0,379.98,379.98,0.23685349463259914,0.0074056735512522,0.125,0.0980309995157664,0.0,0.0,0.0,1.0,0.0,
NOROESTE RIO-GRANDENSE,253477,379.98,379.98,1.0,1,1,1,37.0,,0.0,379.98,379.98,0.22501022773762444,0.019221109531187636,0.2,0.0980198671497507,0.0,0.0,0.0,1.0,0.0,
NOROESTE RIO-GRANDENSE,250606,379.98,379.98,1.0,1,1,1,37.0,,0.0,379.98,379.98,0.22501022773762444,0.019221109531187636,0.2,0.0980198671497507,0.0,0.0,0.0,1.0,0.0,
NOROESTE RIO-GRANDENSE,253476,379.98,379.98,1.0,1,1,1,35.0,,0.0,379.98,379.98,0.22501022773762444,0.019221109531187636,0.2,0.0980198671497507,0.0,0.0,1.0,0.0,0.0,
NOROESTE RIO-GRANDENSE,213977,379.98,379.98,1.0,1,1,1,37.0,,0.0,379.98,379.98,0.22501022773762444,0.019221109531187636,0.2,0.0980198671497507,0.0,0.0,0.0,1.0,0.0,
OESTE PARANAENSE,156958,439.98,439.98,1.0,1,1,1,24.0,,0.0,439.98,439.98,0.22501022773762444,0.019162758447676325,0.25,0.09799652671634618,0.0,1.0,0.0,0.0,0.0,
OESTE PARANAENSE,197612,439.98,439.98,1.0,1,1,1,37.0,,0.0,439.98,439.98,0.22501022773762444,0.019162758447676325,0.25,0.09799652671634618,0.0,0.0,0.0,1.0,0.0,
OESTE PARANAENSE,225228,439.98,439.98,1.0,1,1,1,37.0,,0.0,439.98,439.98,0.22501022773762444,0.019162758447676325,0.25,0.09799652671634618,0.0,0.0,0.0,1.0,0.0,
METROPOLITANA DE SÃO PAULO,197563,2949.7,2889.7,1.0285755107872554,15,8,2,35.6,3.0891515247486883,0.0,192.64666666666665,361.2125,0.2314400099275837,0.0012306925025409518,0.041237113402061855,0.09797826460543776,0.0,0.0,3.0,12.0,0.0,477.24757982623646
METROPOLITANA DE SÃO PAULO,257425,3199.84,3079.8500000000004,1.0535688774599092,8,8,1,42.125,8.043409014306594,0.0,384.98125000000005,384.98125000000005,0.2370637730545275,0.0013116753655918437,0.041237113402061855,0.09796883730585461,0.0,0.0,0.0,6.0,2.0,0.0
AGRESTE PERNAMBUCANO,253722,469.98,469.98,1.0,1,1,1,37.0,,0.0,469.98,469.98,0.22501022773762444,0.019070055816776843,0.2,0.09795944566398639,0.0,0.0,0.0,1.0,0.0,
