Dim_Lojas.Regiao,ID_Produto,total_vendas,qtd_vendas,ticket_medio,clientes_unicos,lojas_unicas,canais_unicos,idade_media_clientes,idade_std_clientes,fidelidade,vendas_por_cliente,vendas_por_loja,ticket_relativo,vendas_relativa_regiao,participacao_lojas,score_produto_regiao,<18,18-25,26-35,36-50,50+,concentracao_vendas_loja
AGRESTE PERNAMBUCANO,204917,299.98,149.99,2.0,1,1,1,49.0,,0.0,149.99,149.99,0.4500204554752489,0.0060860412612416676,0.2,0.1827699309368221,0.0,0.0,0.0,1.0,0.0,
AGRESTE PERNAMBUCANO,211107,299.98,149.99,2.0,1,1,1,31.0,,0.0,149.99,149.99,0.4500204554752489,0.0060860412612416676,0.2,0.1827699309368221,0.0,0.0,1.0,0.0,0.0,
AGRESTE PERNAMBUCANO,211452,299.98,149.99,2.0,1,1,1,37.0,,0.0,149.99,149.99,0.4500204554752489,0.0060860412612416676,0.2,0.1827699309368221,0.0,0.0,0.0,1.0,0.0,
CAMPO DAS VERTENTES,130070,299.98,149.98,2.0001333511134822,1,1,1,47.0,,0.0,149.98,149.98,0.45005046083966255,0.005828997923822714,0.25,0.18267911574761997,0.0,0.0,0.0,1.0,0.0,
CENTRO OCIDENTAL RIO-GRANDENSE,225064,299.98,149.99,2.0,1,1,1,21.0,,0.0,149.99,149.99,0.4500204554752489,0.00581624857977129,0.25,0.18266201386423395,0.0,1.0,0.0,0.0,0.0,
CENTRO SUL BAIANO,252486,199.98,99.98,2.0002000400080013,1,1,1,32.0,,0.0,99.98,99.98,0.4500654665230059,0.005662083803144332,0.2,0.18261835237268595,0.0,0.0,1.0,0.0,0.0,
CENTRO SUL BAIANO,252594,199.98,99.98,2.0002000400080013,1,1,1,37.0,,0.0,99.98,99.98,0.4500654665230059,0.005662083803144332,0.2,0.18261835237268595,0.0,0.0,0.0,1.0,0.0,
LESTE GOIANO,251215,799.96,399.98,2.0,2,1,1,33.0,5.656854249492381,0.0,199.99,399.98,0.4500204554752489,0.00486740584353988,0.125,0.18260980901196724,0.0,0.0,1.0,1.0,0.0,
AGRESTE PERNAMBUCANO,205230,279.98,139.99,2.0,1,1,1,36.0,,0.0,139.99,139.99,0.4500204554752489,0.005680278126283226,0.2,0.18260762568283873,0.0,0.0,0.0,1.0,0.0,
BAIXO AMAZONAS,214390,399.98,199.99,2.0,1,1,1,37.0,,0.0,199.99,199.99,0.4500204554752489,0.005665225644472885,0.3333333333333333,0.18260160469011458,0.0,0.0,0.0,1.0,0.0,
